doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.347
job1,job3,0.136
job1,job4,0.032
job1,job5,0.002
job1,job6,0.01
job1,job7,0.008
job1,job8,0.012
job2,job1,0.347
job2,job2,1.0
job2,job3,0.192
job2,job4,0.003
job2,job5,0.002
job2,job6,0.004
job2,job7,0.044
job2,job8,0.011
job3,job1,0.136
job3,job2,0.192
job3,job3,1.0
job3,job4,0.003
job3,job5,0.002
job3,job6,0.008
job3,job7,0.015
job3,job8,0.017
job4,job1,0.032
job4,job2,0.003
job4,job3,0.003
job4,job4,1.0
job4,job5,0.3
job4,job6,0.252
job4,job7,0.006
job4,job8,0.005
job5,job1,0.002
job5,job2,0.002
job5,job3,0.002
job5,job4,0.3
job5,job5,1.0
job5,job6,0.102
job5,job7,0.004
job5,job8,0.003
job6,job1,0.01
job6,job2,0.004
job6,job3,0.008
job6,job4,0.252
job6,job5,0.102
job6,job6,1.0
job6,job7,0.017
job6,job8,0.019
job7,job1,0.008
job7,job2,0.044
job7,job3,0.015
job7,job4,0.006
job7,job5,0.004
job7,job6,0.017
job7,job7,1.0
job7,job8,0.661
job8,job1,0.012
job8,job2,0.011
job8,job3,0.017
job8,job4,0.005
job8,job5,0.003
job8,job6,0.019
job8,job7,0.661
job8,job8,1.0
