doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.754
job1,job3,0.659
job1,job4,0.185
job1,job5,0.154
job1,job6,0.177
job1,job7,0.383
job1,job8,0.388
job2,job1,0.754
job2,job2,1.0
job2,job3,0.701
job2,job4,0.094
job2,job5,0.157
job2,job6,0.119
job2,job7,0.421
job2,job8,0.364
job3,job1,0.659
job3,job2,0.701
job3,job3,1.0
job3,job4,0.102
job3,job5,0.17
job3,job6,0.162
job3,job7,0.386
job3,job8,0.394
job4,job1,0.185
job4,job2,0.094
job4,job3,0.102
job4,job4,1.0
job4,job5,0.733
job4,job6,0.667
job4,job7,0.138
job4,job8,0.161
job5,job1,0.154
job5,job2,0.157
job5,job3,0.17
job5,job4,0.733
job5,job5,1.0
job5,job6,0.572
job5,job7,0.138
job5,job8,0.129
job6,job1,0.177
job6,job2,0.119
job6,job3,0.162
job6,job4,0.667
job6,job5,0.572
job6,job6,1.0
job6,job7,0.23
job6,job8,0.277
job7,job1,0.383
job7,job2,0.421
job7,job3,0.386
job7,job4,0.138
job7,job5,0.138
job7,job6,0.23
job7,job7,1.0
job7,job8,0.902
job8,job1,0.388
job8,job2,0.364
job8,job3,0.394
job8,job4,0.161
job8,job5,0.129
job8,job6,0.277
job8,job7,0.902
job8,job8,1.0
