doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.563
job1,job3,0.316
job1,job4,0.0
job1,job5,0.0
job1,job6,0.019
job1,job7,0.0
job1,job8,0.019
job2,job1,0.563
job2,job2,1.0
job2,job3,0.368
job2,job4,0.0
job2,job5,0.0
job2,job6,0.0
job2,job7,0.037
job2,job8,0.0
job3,job1,0.316
job3,job2,0.368
job3,job3,1.0
job3,job4,0.0
job3,job5,0.0
job3,job6,0.019
job3,job7,0.0
job3,job8,0.02
job4,job1,0.0
job4,job2,0.0
job4,job3,0.0
job4,job4,1.0
job4,job5,0.484
job4,job6,0.357
job4,job7,0.0
job4,job8,0.0
job5,job1,0.0
job5,job2,0.0
job5,job3,0.0
job5,job4,0.484
job5,job5,1.0
job5,job6,0.174
job5,job7,0.0
job5,job8,0.0
job6,job1,0.019
job6,job2,0.0
job6,job3,0.019
job6,job4,0.357
job6,job5,0.174
job6,job6,1.0
job6,job7,0.0
job6,job8,0.018
job7,job1,0.0
job7,job2,0.037
job7,job3,0.0
job7,job4,0.0
job7,job5,0.0
job7,job6,0.0
job7,job7,1.0
job7,job8,0.768
job8,job1,0.019
job8,job2,0.0
job8,job3,0.02
job8,job4,0.0
job8,job5,0.0
job8,job6,0.018
job8,job7,0.768
job8,job8,1.0
