doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.326,2.944
job1,job3,0.364,3.284
job1,job4,0.367,3.313
job1,job5,0.416,3.753
job1,job6,0.437,3.943
job1,job7,0.339,3.064
job1,job8,0.385,3.481
job2,job1,0.316,2.944
job2,job2,0.0,0.0
job2,job3,0.361,3.365
job2,job4,0.384,3.58
job2,job5,0.412,3.842
job2,job6,0.436,4.069
job2,job7,0.335,3.128
job2,job8,0.389,3.625
job3,job1,0.349,3.284
job3,job2,0.358,3.365
job3,job3,0.0,0.0
job3,job4,0.378,3.55
job3,job5,0.406,3.814
job3,job6,0.428,4.027
job3,job7,0.338,3.175
job3,job8,0.381,3.579
job4,job1,0.385,3.313
job4,job2,0.416,3.58
job4,job3,0.412,3.55
job4,job4,0.0,0.0
job4,job5,0.319,2.743
job4,job6,0.363,3.122
job4,job7,0.346,2.976
job4,job8,0.395,3.398
job5,job1,0.397,3.753
job5,job2,0.406,3.842
job5,job3,0.403,3.814
job5,job4,0.29,2.743
job5,job5,0.0,0.0
job5,job6,0.386,3.644
job5,job7,0.353,3.339
job5,job8,0.396,3.742
job6,job1,0.398,3.943
job6,job2,0.411,4.069
job6,job3,0.406,4.027
job6,job4,0.315,3.122
job6,job5,0.368,3.644
job6,job6,0.0,0.0
job6,job7,0.352,3.486
job6,job8,0.387,3.837
job7,job1,0.381,3.064
job7,job2,0.389,3.128
job7,job3,0.395,3.175
job7,job4,0.37,2.976
job7,job5,0.415,3.339
job7,job6,0.433,3.486
job7,job7,0.0,0.0
job7,job8,0.228,1.831
job8,job1,0.385,3.481
job8,job2,0.401,3.625
job8,job3,0.396,3.579
job8,job4,0.376,3.398
job8,job5,0.414,3.742
job8,job6,0.425,3.837
job8,job7,0.203,1.831
job8,job8,0.0,0.0
