doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.243,0.832
job1,job3,0.311,1.062
job1,job4,0.414,1.415
job1,job5,0.414,1.414
job1,job6,0.407,1.39
job1,job7,0.414,1.415
job1,job8,0.407,1.39
job2,job1,0.243,0.832
job2,job2,0.0,0.0
job2,job3,0.301,1.027
job2,job4,0.414,1.415
job2,job5,0.414,1.414
job2,job6,0.414,1.415
job2,job7,0.406,1.388
job2,job8,0.414,1.415
job3,job1,0.306,1.062
job3,job2,0.296,1.027
job3,job3,0.0,0.0
job3,job4,0.408,1.413
job3,job5,0.407,1.412
job3,job6,0.4,1.387
job3,job7,0.408,1.413
job3,job8,0.4,1.387
job4,job1,0.409,1.415
job4,job2,0.409,1.415
job4,job3,0.409,1.413
job4,job4,0.0,0.0
job4,job5,0.266,0.921
job4,job6,0.305,1.055
job4,job7,0.409,1.413
job4,job8,0.409,1.414
job5,job1,0.403,1.414
job5,job2,0.403,1.414
job5,job3,0.402,1.412
job5,job4,0.262,0.921
job5,job5,0.0,0.0
job5,job6,0.348,1.22
job5,job7,0.402,1.412
job5,job8,0.403,1.413
job6,job1,0.395,1.39
job6,job2,0.402,1.415
job6,job3,0.394,1.387
job6,job4,0.3,1.055
job6,job5,0.347,1.22
job6,job6,0.0,0.0
job6,job7,0.402,1.414
job6,job8,0.395,1.389
job7,job1,0.404,1.415
job7,job2,0.396,1.388
job7,job3,0.403,1.413
job7,job4,0.403,1.413
job7,job5,0.403,1.412
job7,job6,0.403,1.414
job7,job7,0.0,0.0
job7,job8,0.176,0.616
job8,job1,0.399,1.39
job8,job2,0.406,1.415
job8,job3,0.398,1.387
job8,job4,0.405,1.414
job8,job5,0.405,1.413
job8,job6,0.398,1.389
job8,job7,0.177,0.616
job8,job8,0.0,0.0
