doc_a,doc_b,value1,value2
job1,job1,0.0,0.0
job1,job2,0.268,0.935
job1,job3,0.335,1.169
job1,job4,0.405,1.413
job1,job5,0.405,1.414
job1,job6,0.402,1.402
job1,job7,0.406,1.415
job1,job8,0.401,1.399
job2,job1,0.269,0.935
job2,job2,0.0,0.0
job2,job3,0.324,1.125
job2,job4,0.407,1.414
job2,job5,0.407,1.415
job2,job6,0.407,1.416
job2,job7,0.4,1.389
job2,job8,0.407,1.414
job3,job1,0.33,1.169
job3,job2,0.317,1.125
job3,job3,0.0,0.0
job3,job4,0.399,1.414
job3,job5,0.399,1.415
job3,job6,0.396,1.402
job3,job7,0.4,1.416
job3,job8,0.395,1.399
job4,job1,0.403,1.413
job4,job2,0.403,1.414
job4,job3,0.403,1.414
job4,job4,0.0,0.0
job4,job5,0.29,1.016
job4,job6,0.323,1.134
job4,job7,0.403,1.414
job4,job8,0.402,1.412
job5,job1,0.397,1.414
job5,job2,0.397,1.415
job5,job3,0.397,1.415
job5,job4,0.285,1.016
job5,job5,0.0,0.0
job5,job6,0.361,1.287
job5,job7,0.397,1.416
job5,job8,0.397,1.413
job6,job1,0.391,1.402
job6,job2,0.395,1.416
job6,job3,0.391,1.402
job6,job4,0.316,1.134
job6,job5,0.359,1.287
job6,job6,0.0,0.0
job6,job7,0.395,1.417
job6,job8,0.391,1.401
job7,job1,0.402,1.415
job7,job2,0.394,1.389
job7,job3,0.402,1.416
job7,job4,0.401,1.414
job7,job5,0.402,1.416
job7,job6,0.402,1.417
job7,job7,0.0,0.0
job7,job8,0.193,0.681
job8,job1,0.398,1.399
job8,job2,0.403,1.414
job8,job3,0.398,1.399
job8,job4,0.402,1.412
job8,job5,0.402,1.413
job8,job6,0.399,1.401
job8,job7,0.194,0.681
job8,job8,0.0,0.0
