doc,word,value
job1,ability meet deadline,0.0
job1,adobe cs5 programming,0.0
job1,advanced statistical technique,1.0
job1,advertisement multimedia design,0.0
job1,analysis modelling method,0.5
job1,analyzing visualizing large,0.0
job1,bachelor degree graphic,0.0
job1,background data science,0.0
job1,background photoshop dreamweaver,0.0
job1,background photoshop illustrator,0.0
job1,background proven experience,0.5
job1,bioinformatics data science,0.0
job1,bioinformatics database bioinformatics,0.0
job1,bioinformatics tool relevant,0.0
job1,corporate identity advertisement,0.0
job1,corporate identity product,0.0
job1,cs5 programming background,0.0
job1,data analysis modelling,0.5
job1,data science machine,0.0
job1,database bioinformatics tool,0.0
job1,degree graphic design,0.0
job1,delivering data science,0.0
job1,delivering machine learning,1.0
job1,design corporate identity,0.0
job1,design interactive medium,0.0
job1,design related field,0.0
job1,design strong knowledge,0.0
job1,design web design,0.0
job1,designer related field,0.0
job1,discipline bioinformatics data,0.0
job1,effective time management,0.0
job1,excellent oral written,0.0
job1,excellent skill adobe,0.0
job1,excellent skill bioinformatics,0.0
job1,experience advanced statistical,1.0
job1,experience bioinformatics data,0.0
job1,experience data analysis,0.5
job1,experience data analytic,0.0
job1,experience data architecture,0.0
job1,experience data design,1.0
job1,experience data modelling,0.0
job1,experience delivering data,0.0
job1,experience delivering machine,1.0
job1,experience graphic designer,0.0
job1,experience number following,0.333
job1,experience related scientific,0.0
job1,experience tool managing,0.0
job1,experience using sophisticated,0.0
job1,experience web marketing,0.0
job1,experienced mac platform,0.0
job1,five year experience,1.0
job1,following language tool,0.333
job1,four year experience,0.0
job1,graphic design related,0.0
job1,graphic design web,0.0
job1,graphic designer related,0.0
job1,identity advertisement multimedia,0.0
job1,identity product packaging,0.0
job1,java spark scala,0.5
job1,knowledge variety machine,0.0
job1,language tool sql,0.333
job1,learning predictive modelling,0.0
job1,mac platform excellent,0.0
job1,machine learning predictive,0.0
job1,machine learning project,0.5
job1,machine learning technique,0.0
job1,management skill ability,0.0
job1,managing analyzing visualizing,0.0
job1,marketing product packaging,0.0
job1,marketing production website,0.0
job1,marketing web design,0.0
job1,matlab sas java,0.5
job1,matlab sas sql,0.0
job1,method machine learning,0.0
job1,number following language,0.333
job1,one three year,0.0
job1,oral written skill,0.0
job1,packaging advertisement multimedia,0.0
job1,photoshop dreamweaver illustrator,0.0
job1,platform excellent skill,0.0
job1,please contact job1mail,1.0
job1,please contact job44mail,0.0
job1,product packaging advertisement,0.0
job1,production website design,0.0
job1,proficient graphic design,0.0
job1,proficient python r,0.0
job1,programming background data,0.0
job1,programming background photoshop,0.0
job1,programming background proven,0.5
job1,proven experience delivering,0.5
job1,python matlab sas,0.333
job1,python r programming,0.0
job1,related scientific discipline,0.0
job1,relevant programming language,0.0
job1,sas java spark,0.5
job1,scala aws tableau,0.0
job1,science machine learning,0.0
job1,scientific discipline bioinformatics,0.0
job1,skill ability communicate,0.0
job1,skill ability meet,0.0
job1,skill adobe cs5,0.0
job1,skill bioinformatics database,0.0
job1,sophisticated statistical method,0.0
job1,spark scala aws,0.0
job1,sql python matlab,0.333
job1,statistic programming background,0.333
job1,statistical method machine,0.0
job1,strong knowledge html,0.0
job1,strong statistic programming,0.333
job1,three year experience,0.25
job1,time management skill,0.0
job1,tool managing analyzing,0.0
job1,tool relevant programming,0.0
job1,tool sql python,0.333
job1,understanding marketing product,0.0
job1,understanding marketing production,0.0
job1,using sophisticated statistical,0.0
job1,variety machine learning,0.0
job1,visualizing large datasets,0.0
job1,web design interactive,0.0
job1,web design strong,0.0
job1,web marketing web,0.0
job1,website design corporate,0.0
job1,written skill ability,0.0
job1,year experience advanced,1.0
job1,year experience bioinformatics,0.0
job1,year experience data,0.333
job1,year experience graphic,0.0
job1,year experience related,0.0
job2,ability meet deadline,0.0
job2,adobe cs5 programming,0.0
job2,advanced statistical technique,0.0
job2,advertisement multimedia design,0.0
job2,analysis modelling method,0.5
job2,analyzing visualizing large,0.0
job2,bachelor degree graphic,0.0
job2,background data science,0.0
job2,background photoshop dreamweaver,0.0
job2,background photoshop illustrator,0.0
job2,background proven experience,0.5
job2,bioinformatics data science,0.0
job2,bioinformatics database bioinformatics,0.0
job2,bioinformatics tool relevant,0.0
job2,corporate identity advertisement,0.0
job2,corporate identity product,0.0
job2,cs5 programming background,0.0
job2,data analysis modelling,0.5
job2,data science machine,0.0
job2,database bioinformatics tool,0.0
job2,degree graphic design,0.0
job2,delivering data science,1.0
job2,delivering machine learning,0.0
job2,design corporate identity,0.0
job2,design interactive medium,0.0
job2,design related field,0.0
job2,design strong knowledge,0.0
job2,design web design,0.0
job2,designer related field,0.0
job2,discipline bioinformatics data,0.0
job2,effective time management,0.0
job2,excellent oral written,0.0
job2,excellent skill adobe,0.0
job2,excellent skill bioinformatics,0.0
job2,experience advanced statistical,0.0
job2,experience bioinformatics data,0.0
job2,experience data analysis,0.5
job2,experience data analytic,1.0
job2,experience data architecture,1.0
job2,experience data design,0.0
job2,experience data modelling,0.0
job2,experience delivering data,1.0
job2,experience delivering machine,0.0
job2,experience graphic designer,0.0
job2,experience number following,0.333
job2,experience related scientific,0.0
job2,experience tool managing,0.0
job2,experience using sophisticated,0.0
job2,experience web marketing,0.0
job2,experienced mac platform,0.0
job2,five year experience,0.0
job2,following language tool,0.333
job2,four year experience,0.5
job2,graphic design related,0.0
job2,graphic design web,0.0
job2,graphic designer related,0.0
job2,identity advertisement multimedia,0.0
job2,identity product packaging,0.0
job2,java spark scala,0.5
job2,knowledge variety machine,0.5
job2,language tool sql,0.333
job2,learning predictive modelling,0.0
job2,mac platform excellent,0.0
job2,machine learning predictive,0.0
job2,machine learning project,0.0
