doc,word,value
job1,ability,0.0
job1,adobe,0.0
job1,advanced,1.0
job1,advertisement,0.0
job1,analysis,0.5
job1,analytic,0.0
job1,analyzing,0.0
job1,architecture,0.0
job1,aws,0.0
job1,bachelor,0.0
job1,background,0.167
job1,bioinformatics,0.0
job1,communicate,0.0
job1,contact,0.5
job1,corporate,0.0
job1,cs5,0.0
job1,data,0.2
job1,database,0.0
job1,datasets,0.0
job1,deadline,0.0
job1,degree,0.0
job1,delivering,0.5
job1,design,0.1
job1,designer,0.0
job1,discipline,0.0
job1,dreamweaver,0.0
job1,effective,0.0
job1,excellent,0.0
job1,experience,0.25
job1,experienced,0.0
job1,field,0.0
job1,five,1.0
job1,following,0.333
job1,four,0.0
job1,graphic,0.0
job1,html,0.0
job1,identity,0.0
job1,illustrator,0.0
job1,interactive,0.0
job1,java,0.5
job1,job1mail,1.0
job1,job44mail,0.0
job1,knowledge,0.0
job1,language,0.2
job1,large,0.0
job1,learning,0.167
job1,mac,0.0
job1,machine,0.167
job1,management,0.0
job1,managing,0.0
job1,marketing,0.0
job1,matlab,0.333
job1,medium,0.0
job1,meet,0.0
job1,method,0.25
job1,modelling,0.2
job1,multimedia,0.0
job1,number,0.333
job1,one,0.0
job1,oral,0.0
job1,packaging,0.0
job1,photoshop,0.0
job1,platform,0.0
job1,please,0.5
job1,predictive,0.0
job1,product,0.0
job1,production,0.0
job1,proficient,0.0
job1,programming,0.1
job1,project,0.5
job1,proven,0.5
job1,python,0.2
job1,r,0.0
job1,related,0.0
job1,relevant,0.0
job1,sas,0.333
job1,scala,0.5
job1,science,0.0
job1,scientific,0.0
job1,skill,0.0
job1,sophisticated,0.0
job1,spark,0.5
job1,sql,0.25
job1,statistic,0.333
job1,statistical,0.333
job1,strong,0.25
job1,tableau,0.0
job1,technique,0.333
job1,three,0.25
job1,time,0.0
job1,tool,0.167
job1,understanding,0.0
job1,using,0.0
job1,variety,0.0
job1,visualizing,0.0
job1,web,0.0
job1,website,0.0
job1,written,0.0
job1,year,0.286
job2,ability,0.0
job2,adobe,0.0
job2,advanced,0.0
job2,advertisement,0.0
job2,analysis,0.5
job2,analytic,1.0
job2,analyzing,0.0
job2,architecture,1.0
job2,aws,1.0
job2,bachelor,0.0
job2,background,0.167
job2,bioinformatics,0.0
job2,communicate,0.0
job2,contact,0.0
job2,corporate,0.0
job2,cs5,0.0
job2,data,0.4
job2,database,0.0
job2,datasets,0.0
job2,deadline,0.0
job2,degree,0.0
job2,delivering,0.5
job2,design,0.0
job2,designer,0.0
job2,discipline,0.0
job2,dreamweaver,0.0
job2,effective,0.0
job2,excellent,0.0
job2,experience,0.25
job2,experienced,0.0
job2,field,0.0
job2,five,0.0
job2,following,0.333
job2,four,0.5
job2,graphic,0.0
job2,html,0.0
job2,identity,0.0
job2,illustrator,0.0
job2,interactive,0.0
job2,java,0.5
job2,job1mail,0.0
job2,job44mail,0.0
job2,knowledge,0.333
job2,language,0.2
job2,large,0.0
job2,learning,0.167
job2,mac,0.0
job2,machine,0.167
job2,management,0.0
job2,managing,0.0
job2,marketing,0.0
job2,matlab,0.333
job2,medium,0.0
job2,meet,0.0
job2,method,0.25
job2,modelling,0.2
job2,multimedia,0.0
job2,number,0.333
job2,one,0.0
job2,oral,0.0
job2,packaging,0.0
job2,photoshop,0.0
job2,platform,0.0
job2,please,0.0
job2,predictive,0.0
job2,product,0.0
job2,production,0.0
job2,proficient,0.0
job2,programming,0.1
job2,project,0.0
job2,proven,0.5
job2,python,0.2
job2,r,0.0
job2,related,0.0
job2,relevant,0.0
job2,sas,0.333
job2,scala,0.5
job2,science,0.25
job2,scientific,0.0
job2,skill,0.0
