doc,word,value,value2
job1,ability,0,0.0
job1,adobe,0,0.0
job1,advanced,1,0.169
job1,advertisement,0,0.0
job1,analysis,1,0.169
job1,analytic,0,0.0
job1,analyzing,0,0.0
job1,architecture,0,0.0
job1,aws,0,0.0
job1,bachelor,0,0.0
job1,background,1,0.169
job1,bioinformatics,0,0.0
job1,communicate,0,0.0
job1,contact,1,0.169
job1,corporate,0,0.0
job1,cs5,0,0.0
job1,data,1,0.169
job1,database,0,0.0
job1,datasets,0,0.0
job1,deadline,0,0.0
job1,degree,0,0.0
job1,delivering,1,0.169
job1,design,1,0.169
job1,designer,0,0.0
job1,discipline,0,0.0
job1,dreamweaver,0,0.0
job1,effective,0,0.0
job1,excellent,0,0.0
job1,experience,1,0.169
job1,experienced,0,0.0
job1,field,0,0.0
job1,five,1,0.169
job1,following,1,0.169
job1,four,0,0.0
job1,graphic,0,0.0
job1,html,0,0.0
job1,identity,0,0.0
job1,illustrator,0,0.0
job1,interactive,0,0.0
job1,java,1,0.169
job1,job1mail,1,0.169
job1,job44mail,0,0.0
job1,knowledge,0,0.0
job1,language,1,0.169
job1,large,0,0.0
job1,learning,1,0.169
job1,mac,0,0.0
job1,machine,1,0.169
job1,management,0,0.0
job1,managing,0,0.0
job1,marketing,0,0.0
job1,matlab,1,0.169
job1,medium,0,0.0
job1,meet,0,0.0
job1,method,1,0.169
job1,modelling,1,0.169
job1,multimedia,0,0.0
job1,number,1,0.169
job1,one,0,0.0
job1,oral,0,0.0
job1,packaging,0,0.0
job1,photoshop,0,0.0
job1,platform,0,0.0
job1,please,1,0.169
job1,predictive,0,0.0
job1,product,0,0.0
job1,production,0,0.0
job1,proficient,0,0.0
job1,programming,1,0.169
job1,project,1,0.169
job1,proven,1,0.169
job1,python,1,0.169
job1,r,0,0.0
job1,related,0,0.0
job1,relevant,0,0.0
job1,sas,1,0.169
job1,scala,1,0.169
job1,science,0,0.0
job1,scientific,0,0.0
job1,skill,0,0.0
job1,sophisticated,0,0.0
job1,spark,1,0.169
job1,sql,1,0.169
job1,statistic,1,0.169
job1,statistical,1,0.169
job1,strong,1,0.169
job1,tableau,0,0.0
job1,technique,1,0.169
job1,three,1,0.169
job1,time,0,0.0
