doc,word,value,value2
job1,ability,0.0,0.0
job1,adobe,0.0,0.0
job1,advanced,2.504,0.206
job1,advertisement,0.0,0.0
job1,analysis,2.099,0.172
job1,analytic,0.0,0.0
job1,analyzing,0.0,0.0
job1,architecture,0.0,0.0
job1,aws,0.0,0.0
job1,bachelor,0.0,0.0
job1,background,1.251,0.103
job1,bioinformatics,0.0,0.0
job1,communicate,0.0,0.0
job1,contact,2.099,0.172
job1,corporate,0.0,0.0
job1,cs5,0.0,0.0
job1,data,2.81,0.231
job1,database,0.0,0.0
job1,datasets,0.0,0.0
job1,deadline,0.0,0.0
job1,degree,0.0,0.0
job1,delivering,2.099,0.172
job1,design,1.588,0.13
job1,designer,0.0,0.0
job1,discipline,0.0,0.0
job1,dreamweaver,0.0,0.0
job1,effective,0.0,0.0
job1,excellent,0.0,0.0
job1,experience,5.0,0.411
job1,experienced,0.0,0.0
job1,field,0.0,0.0
job1,five,2.504,0.206
job1,following,1.811,0.149
job1,four,0.0,0.0
job1,graphic,0.0,0.0
job1,html,0.0,0.0
job1,identity,0.0,0.0
job1,illustrator,0.0,0.0
job1,interactive,0.0,0.0
job1,java,2.099,0.172
job1,job1mail,2.504,0.206
job1,job44mail,0.0,0.0
job1,knowledge,0.0,0.0
job1,language,1.405,0.115
job1,large,0.0,0.0
job1,learning,1.405,0.115
job1,mac,0.0,0.0
job1,machine,1.405,0.115
job1,management,0.0,0.0
job1,managing,0.0,0.0
job1,marketing,0.0,0.0
job1,matlab,1.811,0.149
job1,medium,0.0,0.0
job1,meet,0.0,0.0
job1,method,1.588,0.13
job1,modelling,1.405,0.115
job1,multimedia,0.0,0.0
job1,number,1.811,0.149
job1,one,0.0,0.0
job1,oral,0.0,0.0
job1,packaging,0.0,0.0
job1,photoshop,0.0,0.0
job1,platform,0.0,0.0
job1,please,2.099,0.172
job1,predictive,0.0,0.0
job1,product,0.0,0.0
job1,production,0.0,0.0
job1,proficient,0.0,0.0
job1,programming,1.0,0.082
job1,project,2.099,0.172
job1,proven,2.099,0.172
job1,python,1.405,0.115
job1,r,0.0,0.0
job1,related,0.0,0.0
job1,relevant,0.0,0.0
job1,sas,1.811,0.149
job1,scala,2.099,0.172
job1,science,0.0,0.0
job1,scientific,0.0,0.0
job1,skill,0.0,0.0
job1,sophisticated,0.0,0.0
job1,spark,2.099,0.172
job1,sql,1.811,0.149
job1,statistic,1.811,0.149
job1,statistical,1.811,0.149
job1,strong,1.588,0.13
job1,tableau,0.0,0.0
job1,technique,1.811,0.149
job1,three,1.588,0.13
job1,time,0.0,0.0
job1,tool,1.405,0.115
job1,understanding,0.0,0.0
job1,using,0.0,0.0
job1,variety,0.0,0.0
job1,visualizing,0.0,0.0
job1,web,0.0,0.0
job1,website,0.0,0.0
job1,written,0.0,0.0
job1,year,2.502,0.205
job2,ability,0.0,0.0
job2,adobe,0.0,0.0
job2,advanced,0.0,0.0
job2,advertisement,0.0,0.0
job2,analysis,2.099,0.163
job2,analytic,2.504,0.194
job2,analyzing,0.0,0.0
job2,architecture,2.504,0.194
job2,aws,2.504,0.194
job2,bachelor,0.0,0.0
job2,background,1.251,0.097
job2,bioinformatics,0.0,0.0
job2,communicate,0.0,0.0
job2,contact,0.0,0.0
job2,corporate,0.0,0.0
job2,cs5,0.0,0.0
job2,data,5.62,0.435
job2,database,0.0,0.0
job2,datasets,0.0,0.0
job2,deadline,0.0,0.0
job2,degree,0.0,0.0
job2,delivering,2.099,0.163
job2,design,0.0,0.0
job2,designer,0.0,0.0
job2,discipline,0.0,0.0
job2,dreamweaver,0.0,0.0
job2,effective,0.0,0.0
job2,excellent,0.0,0.0
job2,experience,5.0,0.387
job2,experienced,0.0,0.0
job2,field,0.0,0.0
job2,five,0.0,0.0
job2,following,1.811,0.14
job2,four,2.099,0.163
job2,graphic,0.0,0.0
job2,html,0.0,0.0
job2,identity,0.0,0.0
job2,illustrator,0.0,0.0
job2,interactive,0.0,0.0
job2,java,2.099,0.163
job2,job1mail,0.0,0.0
job2,job44mail,0.0,0.0
job2,knowledge,1.811,0.14
job2,language,1.405,0.109
job2,large,0.0,0.0
job2,learning,1.405,0.109
job2,mac,0.0,0.0
job2,machine,1.405,0.109
job2,management,0.0,0.0
job2,managing,0.0,0.0
job2,marketing,0.0,0.0
job2,matlab,1.811,0.14
job2,medium,0.0,0.0
job2,meet,0.0,0.0
job2,method,1.588,0.123
job2,modelling,1.405,0.109
job2,multimedia,0.0,0.0
job2,number,1.811,0.14
job2,one,0.0,0.0
job2,oral,0.0,0.0
job2,packaging,0.0,0.0
job2,photoshop,0.0,0.0
job2,platform,0.0,0.0
job2,please,0.0,0.0
job2,predictive,0.0,0.0
job2,product,0.0,0.0
job2,production,0.0,0.0
job2,proficient,0.0,0.0
job2,programming,1.0,0.077
job2,project,0.0,0.0
job2,proven,2.099,0.163
job2,python,1.405,0.109
job2,r,0.0,0.0
job2,related,0.0,0.0
job2,relevant,0.0,0.0
job2,sas,1.811,0.14
job2,scala,2.099,0.163
job2,science,1.588,0.123
job2,scientific,0.0,0.0
job2,skill,0.0,0.0
job2,sophisticated,0.0,0.0
job2,spark,2.099,0.163
job2,sql,1.811,0.14
job2,statistic,1.811,0.14
job2,statistical,0.0,0.0
job2,strong,1.588,0.123
job2,tableau,2.504,0.194
job2,technique,1.811,0.14
job2,three,0.0,0.0
job2,time,0.0,0.0
job2,tool,1.405,0.109
job2,understanding,0.0,0.0
job2,using,0.0,0.0
job2,variety,2.099,0.163
job2,visualizing,0.0,0.0
job2,web,0.0,0.0
job2,website,0.0,0.0
job2,written,0.0,0.0
job2,year,1.251,0.097
job3,ability,0.0,0.0
job3,adobe,0.0,0.0
job3,advanced,0.0,0.0
job3,advertisement,0.0,0.0
