doc_a,doc_b,value
job1,job1,1.0
job1,job2,0.767
job1,job3,0.623
job1,job4,0.423
job1,job5,0.363
job1,job6,0.32
job1,job7,0.262
job1,job8,0.252
job2,job1,0.767
job2,job2,1.0
job2,job3,0.811
job2,job4,0.551
job2,job5,0.473
job2,job6,0.417
job2,job7,0.341
job2,job8,0.328
job3,job1,0.623
job3,job2,0.811
job3,job3,1.0
job3,job4,0.679
job3,job5,0.582
job3,job6,0.515
job3,job7,0.421
job3,job8,0.405
job4,job1,0.423
job4,job2,0.551
job4,job3,0.679
job4,job4,1.0
job4,job5,0.857
job4,job6,0.757
job4,job7,0.619
job4,job8,0.595
job5,job1,0.363
job5,job2,0.473
job5,job3,0.582
job5,job4,0.857
job5,job5,1.0
job5,job6,0.883
job5,job7,0.722
job5,job8,0.695
job6,job1,0.32
job6,job2,0.417
job6,job3,0.515
job6,job4,0.757
job6,job5,0.883
job6,job6,1.0
job6,job7,0.817
job6,job8,0.786
job7,job1,0.262
job7,job2,0.341
job7,job3,0.421
job7,job4,0.619
job7,job5,0.722
job7,job6,0.817
job7,job7,1.0
job7,job8,0.962
job8,job1,0.252
job8,job2,0.328
job8,job3,0.405
job8,job4,0.595
job8,job5,0.695
job8,job6,0.786
job8,job7,0.962
job8,job8,1.0
